timestamp,progname,input_size,party_id,num_parties,frontend_wall_sec, setup_wall_sec,online_wall_sec,process_cpu_sec,user_cpu_sec,sys_cpu_sec,mb_sent_party,mb_sent_global,rounds,compile_threads
1764955472,linear_test,2048,1,3,0.497908,0.070370,2.396082,1.833557,1.659851,0.240553,134.268928,335.681536,16743,1
1764955472,linear_test,2048,2,3,0.497908,0.070447,2.395982,1.257242,1.079531,0.245264,67.127296,335.681536,16743,1
1764955472,linear_test,2048,0,3,0.497908,0.070592,2.396054,1.372055,1.172395,0.267793,134.285312,335.681536,20841,1
1764955475,linear_test,2048,1,3,0.497908,0.045261,2.343381,1.813823,1.653704,0.219809,134.268928,335.681536,16743,1
1764955475,linear_test,2048,2,3,0.497908,0.045354,2.343214,1.237363,1.076034,0.220944,67.127296,335.681536,16743,1
1764955475,linear_test,2048,0,3,0.497908,0.045287,2.343386,1.354368,1.169846,0.244553,134.285312,335.681536,20841,1
1764955478,linear_test,2048,1,3,0.288642,0.040623,1.783231,1.934931,1.736821,0.246793,134.269184,335.682304,16748,2
1764955478,linear_test,2048,0,3,0.288642,0.040515,1.783368,1.427972,1.203857,0.272863,134.285568,335.682304,20846,2
1764955478,linear_test,2048,2,3,0.288642,0.040769,1.783039,1.340322,1.131130,0.258119,67.127552,335.682304,16748,2
1764955481,linear_test,2048,0,3,0.288642,0.045894,1.748087,1.397106,1.197902,0.260778,134.285568,335.682304,20846,2
1764955481,linear_test,2048,1,3,0.288642,0.045974,1.747981,1.890838,1.711536,0.240329,134.269184,335.682304,16748,2
1764955481,linear_test,2048,2,3,0.288642,0.046070,1.747866,1.307413,1.124700,0.242966,67.127552,335.682304,16748,2
1764955484,linear_test,2048,1,3,0.278060,0.040506,1.588010,2.200239,1.884057,0.364168,134.269696,335.683840,16758,4
1764955484,linear_test,2048,0,3,0.278060,0.040162,1.588377,1.716076,1.368617,0.395214,134.286080,335.683840,20856,4
1764955484,linear_test,2048,2,3,0.278060,0.040546,1.587928,1.618269,1.313184,0.352257,67.128064,335.683840,16758,4
1764955487,linear_test,2048,2,3,0.278060,0.048569,1.612470,1.660514,1.350225,0.380018,67.128064,335.683840,16758,4
1764955487,linear_test,2048,1,3,0.278060,0.048510,1.612605,2.246302,1.911530,0.404531,134.269696,335.683840,16758,4
1764955487,linear_test,2048,0,3,0.278060,0.048298,1.612894,1.784248,1.408923,0.445358,134.286080,335.683840,20856,4
1764955490,linear_test,2048,2,3,0.303527,0.055771,1.620321,1.883417,1.425357,0.514688,67.129088,335.686912,16778,8
1764955490,linear_test,2048,1,3,0.303527,0.055685,1.620439,2.454321,2.006997,0.506231,134.270720,335.686912,16778,8
1764955490,linear_test,2048,0,3,0.303527,0.055185,1.620983,2.019356,1.587747,0.491979,134.287104,335.686912,20876,8
1764955493,linear_test,2048,2,3,0.303527,0.048964,1.701192,1.744760,1.394946,0.414011,67.129088,335.686912,16778,8
1764955493,linear_test,2048,1,3,0.303527,0.048827,1.701365,2.314328,1.928589,0.451406,134.270720,335.686912,16778,8
1764955493,linear_test,2048,0,3,0.303527,0.048502,1.701736,1.912847,1.527667,0.452039,134.287104,335.686912,20876,8
1764955496,linear_test,2048,2,3,0.281647,0.043699,1.513647,1.957853,1.424441,0.586162,67.129600,335.688448,16786,16
1764955496,linear_test,2048,0,3,0.281647,0.042817,1.514703,2.033092,1.631960,0.458052,134.287616,335.688448,20884,16
1764955496,linear_test,2048,1,3,0.281647,0.043497,1.513932,2.409479,1.977894,0.484568,134.271232,335.688448,16786,16
1764955499,linear_test,2048,0,3,0.281647,0.050215,1.522881,1.965969,1.594699,0.449145,134.287616,335.688448,20884,16
1764955499,linear_test,2048,1,3,0.281647,0.050769,1.522108,2.384280,1.997604,0.462034,134.271232,335.688448,16786,16
1764955499,linear_test,2048,2,3,0.281647,0.050866,1.522040,1.867794,1.431678,0.509853,67.129600,335.688448,16786,16
1764955502,linear_test,2048,0,3,0.281725,0.044225,1.666281,1.960896,1.553945,0.474330,134.291712,335.700736,20964,32
1764955502,linear_test,2048,1,3,0.281725,0.045515,1.664424,2.400525,1.950204,0.514253,134.275328,335.700736,16866,32
1764955502,linear_test,2048,2,3,0.281725,0.045898,1.664234,1.890168,1.418532,0.532532,67.133696,335.700736,16866,32
1764955504,linear_test,2048,2,3,0.281725,0.057118,1.636383,1.937602,1.425216,0.594592,67.133696,335.700736,16866,32
1764955504,linear_test,2048,0,3,0.281725,0.055548,1.638091,2.036245,1.599663,0.525975,134.291712,335.700736,20964,32
1764955504,linear_test,2048,1,3,0.281725,0.056757,1.636822,2.498400,2.025041,0.556947,134.275328,335.700736,16866,32
